DATE,MEPAINUSA672N
1974-01-01,28010
1975-01-01,27450
1976-01-01,27520
1977-01-01,27690
1978-01-01,27460
1979-01-01,26710
1980-01-01,26340
1981-01-01,25820
1982-01-01,26090
1983-01-01,26620
1984-01-01,27390
1985-01-01,27990
1986-01-01,28880
1987-01-01,29280
1988-01-01,30180
1989-01-01,30970
1990-01-01,30660
1991-01-01,30210
1992-01-01,29890
1993-01-01,30200
1994-01-01,30540
1995-01-01,31390
1996-01-01,32060
1997-01-01,33480
1998-01-01,35130
1999-01-01,35510
2000-01-01,35880
2001-01-01,35770
2002-01-01,35630
2003-01-01,35770
2004-01-01,35730
2005-01-01,36390
2006-01-01,37500
2007-01-01,37740
2008-01-01,36250
2009-01-01,35880
2010-01-01,35450
2011-01-01,34920
2012-01-01,34780
2013-01-01,35240
2014-01-01,36100
2015-01-01,37990
2016-01-01,38730
2017-01-01,39110
2018-01-01,40430
2019-01-01,42530
2020-01-01,41950
2021-01-01,42020
2022-01-01,42090
2023-01-01,42220
